dialogue_id,turn_id,id,question,gold_answer,model_answer,is_repeat,base_qid,f1_fact,factually_correct,f1_self_consistency,self_consistent,H_MC,baseline_correct,baseline_f1,baseline_emb_sim,baseline_nli_label
train_018108e3_d1,1,train_018108e3_d1_t1,The Assembly of Norfolk Island is made of how many seats?,nine,18,0,train_018108e3_d1_q1,0.0,0,,,0.915220255136398,,,,
train_0470b96a_d1,4,train_0470b96a_d1_t4,What was introduced to the diet on a molecular level that prevented the sailors from contracting the disease?,thiamine,Vitamin C,0,train_0470b96a_d1_q4,0.0,0,,,1.316101346999234,,,,
train_05f3a8c6_d1,1,train_05f3a8c6_d1_t1,In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?,2006,2003,0,train_05f3a8c6_d1_q1,0.0,0,,,0.5101080500000906,,,,
train_07ce2534_d1,4,train_07ce2534_d1_t4,In what month and year did Comcast buy 49% of NBCUniversal?,March 2013,February 2011,0,train_07ce2534_d1_q4,0.0,0,,,-0.0,,,,
train_08f878b9_d1,4,train_08f878b9_d1_t4,(Reask) What pope launched the First crusade?,Urban II,Urban II,1,train_08f878b9_d1_q3,1.0,1,,,1.0032304092817121,,,,
train_094c5df8_d1,3,train_094c5df8_d1_t3,(Reask) How were the semi-finalists split up to perform in seasons two and three?,four groups of eight,"1-2, 3-4, 5-6, 7-8, 9-10, 11-12, 13-14, 15-16, 17",1,train_094c5df8_d1_q2,0.0,0,,,0.693864343862821,,,,
train_09d17f05_d1,3,train_09d17f05_d1_t3,How much money was Foxley accused of taking?,at least £3.5m,1000 pounds,0,train_09d17f05_d1_q3,0.0,0,,,-0.0,,,,
train_115d7bfa_d1,5,train_115d7bfa_d1_t5,What is the third fastest growing economy in India?,Himachal Pradesh,Kerala,0,train_115d7bfa_d1_q4,0.0,0,,,0.018631274384748365,,,,
train_150f6229_d1,3,train_150f6229_d1_t3,When was the system originally supposed to be released?,spring of 1985,1998,0,train_150f6229_d1_q3,0.0,0,,,-0.0,,,,
train_1bae594a_d1,5,train_1bae594a_d1_t5,(Reask) Apprimately since what year was the CAF stationed in Europe?,the early 1950s,1967,1,train_1bae594a_d1_q4,0.0,0,,,1.1890852345919478,,,,
train_1fa6f0e7_d1,3,train_1fa6f0e7_d1_t3,What was Tucson's population in 1940?,"36,818","27,000",0,train_1fa6f0e7_d1_q3,0.0,0,,,-0.0,,,,
train_2896ef24_d1,4,train_2896ef24_d1_t4,What is the Faraday constant?,the charge of one mole of electrons,"96,480 coulombs per mole",0,train_2896ef24_d1_q4,0.2,0,,,1.8577432583973296e-05,,,,
train_303e58c3_d1,4,train_303e58c3_d1_t4,Neo-Georgain style was common in Britain until the end of which decade?,1950s,1960s,0,train_303e58c3_d1_q4,0.0,0,,,0.6930165895121203,,,,
train_30a5ba48_d1,1,train_30a5ba48_d1_t1,What was the extent of the Sangam period?,3rd century BCE to the 4th century CE,1500 BCE - 500 BCE,0,train_30a5ba48_d1_q1,0.18181818181818182,0,,,0.357070512181078,,,,
train_3147fd59_d1,2,train_3147fd59_d1_t2,(Reask) In which Portugese region is there still visible English influence?,Oporto region,Algarve,1,train_3147fd59_d1_q1,0.0,0,,,1.4973739310591663,,,,
train_316ba665_d1,3,train_316ba665_d1_t3,What percent vertical resolution increase did Squeeze LDs feature over regular widescreen LDs?,33%,100%,0,train_316ba665_d1_q3,0.0,0,,,0.07391654172190233,,,,
train_3af342d6_d1,4,train_3af342d6_d1_t4,Who got his start with his father's mandolin? ,"Howard Armstrong,",Eric Clapton,0,train_3af342d6_d1_q4,0.0,0,,,-0.0,,,,
train_3b238e88_d1,2,train_3b238e88_d1_t2,How many official languages does Switzerland have?,four,4,0,train_3b238e88_d1_q2,0.0,0,,,2.0991552635705313,,,,
train_4b2b1707_d1,3,train_4b2b1707_d1_t3,Where does Leksandra Broz live?,Croatia,"Belgrade, Serbia",0,train_4b2b1707_d1_q3,0.0,0,,,-0.0,,,,
train_5181b6db_d1,3,train_5181b6db_d1_t3,Which spelling of Hanover is used in historical contexts?,traditional English spelling,Hanover,0,train_5181b6db_d1_q3,0.0,0,,,2.0883981085477914,,,,
train_527960d9_d1,4,train_527960d9_d1_t4,(Reask) Which party did most former slaves join when they were given the right to vote after the Civil War?,Republican,Republican Party,1,train_527960d9_d1_q1,0.6666666666666666,0,,,2.0779697915226203,,,,
train_53a0185a_d1,4,train_53a0185a_d1_t4,What country formed a political union with Libya in 1974?,Tunisia,Chad,0,train_53a0185a_d1_q4,0.0,0,,,0.07326433292759318,,,,
train_5410eb6f_d1,1,train_5410eb6f_d1_t1,What percentage of the air pollution in Hyderabad comes solely from vehicles?,20–50%,40%,0,train_5410eb6f_d1_q1,0.0,0,,,0.4378063188414629,,,,
train_54c3d347_d1,2,train_54c3d347_d1_t2,What percent decrease did audio CD sales experience?,50%,99%,0,train_54c3d347_d1_q2,0.0,0,,,-0.0,,,,
train_5746ace9_d1,4,train_5746ace9_d1_t4,What are three historic bazaars in Hyderabad?,"Laad Bazaar, Begum Bazaar and Sultan Bazaar","Charminar, Laad Bazaar, and Badshahi Bazaar.",0,train_5746ace9_d1_q4,0.4615384615384615,0,,,0.14213140217755835,,,,
train_5ae305d2_d1,1,train_5ae305d2_d1_t1,"The study of humanism among those studying math, astronomy and medicine is said to have caused what?",the scientific revolution,The Renaissance,0,train_5ae305d2_d1_q1,0.0,0,,,0.8672911750138472,,,,
train_60803445_d1,3,train_60803445_d1_t3,How many people were killed at the Charlie Hebdo attack?,thirteen,12,0,train_60803445_d1_q2,0.0,0,,,2.1247271569908173,,,,
train_623de801_d1,1,train_623de801_d1_t1,"Why is a ""this car leaving next"" sign used?",to encourage passengers to make maximum use of the available elevator system capacity,To indicate that a car is leaving the parking lot and to give other drivers time to move out of the way.,0,train_623de801_d1_q1,0.12903225806451615,0,,,0.04722481560618227,,,,
train_63307008_d1,4,train_63307008_d1_t4,"If each house of parliament is notified seperately, what regulation applies?",both houses must be notified on the same day,Single Member Notification,0,train_63307008_d1_q4,0.0,0,,,0.312234078214245,,,,
train_7604bb63_d1,3,train_7604bb63_d1_t3,What is the term for ice that protrude's from a glacier's surface?,nunataks,iceberg,0,train_7604bb63_d1_q3,0.0,0,,,1.5254819381075206,,,,
train_7c08bc7f_d1,3,train_7c08bc7f_d1_t3,What year did Dr. Rowan Williams apologize to the Freemasons?,2003,2009,0,train_7c08bc7f_d1_q3,0.0,0,,,0.6129045795463359,,,,
train_7e8b912f_d1,3,train_7e8b912f_d1_t3,What did the Personal Use License allow?,purchase and personal use by users on homebuilt computers,the use of personal computers for non-commercial purposes,0,train_7e8b912f_d1_q3,0.375,0,,,0.6668979327768079,,,,
train_7f281aad_d1,2,train_7f281aad_d1_t2,To what extent does wealth reach from affluent down to average population?,limited trickle down,"Wealth distribution varies widely by country and can be influenced by factors such as income inequality, government policies, and economic systems. In general, wealth tends to be more concentrated among the affluent and less evenly distributed among the average population. However",0,train_7f281aad_d1_q2,0.0,0,,,0.0811019960185207,,,,
train_86609ecd_d1,2,train_86609ecd_d1_t2,How many SNES units were sold in the US overall?,more than 20 million,19 million,0,train_86609ecd_d1_q2,0.3333333333333333,0,,,1.0516290018355878,,,,
train_8d5a19a8_d1,1,train_8d5a19a8_d1_t1,What is a major benefit to rabbits having a higher concentration of copper in their diet?,growth rates,it helps them fight off parasites,0,train_8d5a19a8_d1_q1,0.0,0,,,0.7287468831040429,,,,
